, ,,,,Distance moved,Velocity,Freezing,Freezing,Cruising,Cruising,Bursting,Bursting,Turn angle,Angular velocity,Meander,Meander
,,,,,CenterNApoint,CenterNApoint,Free Interval based on Velocity,Free Interval based on Velocity,Free Interval based on Velocity,Free Interval based on Velocity,Free Interval based on Velocity,Free Interval based on Velocity,CenterNApoint / absolute,CenterNApoint / absolute,CenterNApoint / absolute,CenterNApoint / absolute
,,,,,Total,Mean,Frequency,Cumulative Duration,Frequency,Cumulative Duration,Frequency,Cumulative Duration,Mean,Mean,Mean,Total
,,,,,mm,mm/s,,s,,s,,s,deg,deg/s,deg/mm,deg/mm
C1,LSD 1,Trial     8,E10,0:00:00-0:30:00,1076.91,0.598791,17,872.04,21,0.84,1,0.04,119.232,2980.79,8151.89,361602000
C1,LSD 1,Trial     8,F4,0:00:00-0:30:00,60.131,0.838413,2,3.48,2,0.08,0,0,122.685,3067.12,6322.86,10268300
C1,LSD 1,Trial     8,F10,0:00:00-0:30:00,372.119,0.931416,1,1405.04,1,0.04,1,0.04,118.392,2959.8,5969.87,59537500
C1,LSD 1,Trial     8,G4,0:00:00-0:30:00,12.038,1.59233,7,1394.08,6,0.24,0,0,122.023,3050.59,3996.77,747396
C1,LSD 1,Trial     8,G10,0:00:00-0:30:00,889.911,0.707852,41,717.64,46,1.84,2,0.08,118.217,2955.43,7347.02,230498000
C1,LSD 1,Trial     8,H4,0:00:00-0:30:00,980.795,0.545347,5,584.88,5,0.2,0,0,118.412,2960.31,8921.69,393340000
C1,LSD 1,Trial     8,H10,0:00:00-0:30:00,329.446,0.667814,1,1480.8,1,0.04,1,0.04,119.23,2980.74,7273.36,84960100
C1,LSD 3,Trial     8,A5,0:00:00-0:30:00,841.265,0.62984,0,0,0,0,0,0,121.321,3033.03,8138.71,262302000
C1,LSD 3,Trial     8,A11,0:00:00-0:30:00,556.828,0.933774,16,1638.12,17,0.68,0,0,114.959,2873.96,5698.43,84883800
C1,LSD 3,Trial     8,B5,0:00:00-0:30:00,52.4426,0.839351,0,0,0,0,0,0,124.036,3100.89,5758.45,7601150
C1,LSD 3,Trial     8,B11,0:00:00-0:30:00,519.418,0.750908,5,1249.44,5,0.2,0,0,118.923,2973.07,7110.28,122773000
C1,LSD 3,Trial     8,C5,0:00:00-0:30:00,14.0071,0.954164,1,7.92,1,0.04,0,0,117.697,2942.42,7359.08,2649270
C1,LSD 3,Trial     8,C11,0:00:00-0:30:00,0.218329,2.72912,0,0,0,0,0,0,NA,NA,NA,NA
C1,LSD 3,Trial     8,D5,0:00:00-0:30:00,1233.23,0.685706,30,1598.4,37,1.48,5,0.2,119.867,2996.69,7848.29,339478000
C1,LSD 3,Trial     8,D11,0:00:00-0:30:00,1340.54,0.745375,0,0,0,0,0,0,121.325,3033.11,6409.34,269885000
C1,LSD 3,Trial     8,E5,0:00:00-0:30:00,626.487,0.865696,30,609.08,45,2.04,9,0.56,117.54,2938.49,6801.72,122635000
C1,LSD 3,Trial     8,E11,0:00:00-0:30:00,741.716,0.412413,0,0,0,0,0,0,125.781,3144.53,10085.3,365360000
C1,LSD 3,Trial     8,F5,0:00:00-0:30:00,4.16266,1.65185,0,0,0,0,0,0,117.786,2944.65,5665.71,345608
C1,LSD 3,Trial     8,F11,0:00:00-0:30:00,1138.88,0.633247,9,1684.08,12,0.56,3,0.2,119.207,2980.18,7775.62,348916000
C1,LSD 3,Trial     8,G5,0:00:00-0:30:00,1237.72,0.688204,13,1765.48,13,0.52,0,0,120.978,3024.45,8550.88,363336000
C1,LSD 3,Trial     8,G11,0:00:00-0:30:00,1191.71,0.662623,0,0,0,0,0,0,122.981,3074.52,6906.76,274385000
C1,LSD 3,Trial     8,H5,0:00:00-0:30:00,1417.68,0.788266,3,218.92,4,0.2,1,0.08,118.839,2970.98,7099.09,316833000
C1,LSD 3,Trial     8,H11,0:00:00-0:30:00,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA
C1,LSD 10,Trial     8,A6,0:00:00-0:30:00,1135.7,0.631476,45,1756.04,60,2.48,3,0.16,119.112,2977.79,8360.72,368281000
C1,LSD 10,Trial     8,A12,0:00:00-0:30:00,313.588,0.660242,17,315.28,18,0.76,1,0.04,117.958,2948.95,7530.06,88899900
C1,LSD 10,Trial     8,B6,0:00:00-0:30:00,979.527,0.81581,81,1217.88,85,3.48,1,0.08,122.781,3069.54,6948.1,186438000
C1,LSD 10,Trial     8,B12,0:00:00-0:30:00,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA
C1,LSD 10,Trial     8,C6,0:00:00-0:30:00,1289.13,0.730417,3,64.44,4,0.16,1,0.04,119.71,2992.76,7371.75,323229000
C1,LSD 10,Trial     8,C12,0:00:00-0:30:00,150.594,1.00557,105,120.84,117,4.8,2,0.2,115.957,2898.91,7271.19,26307200
C1,LSD 10,Trial     8,D6,0:00:00-0:30:00,3426.73,2.34779,3877,1489.88,4870,194.96,0,0,119.73,2993.25,4691.72,168893000
C1,LSD 10,Trial     8,D12,0:00:00-0:30:00,210.05,0.686619,6,279.64,7,0.28,0,0,118.575,2964.37,7217.54,54947200
C1,LSD 10,Trial     8,E6,0:00:00-0:30:00,1066.51,0.593005,7,1599,8,0.32,0,0,119.236,2980.89,8483.88,380137000
C1,LSD 10,Trial     8,E12,0:00:00-0:30:00,951.869,0.651323,0,0,0,0,0,0,119.973,2999.34,7628.63,271053000
C1,LSD 10,Trial     8,F6,0:00:00-0:30:00,780.973,0.434241,0,0,0,0,0,0,124.184,3104.61,9779.83,374176000
C1,LSD 10,Trial     8,F12,0:00:00-0:30:00,773.514,0.837752,42,1417.64,59,3.24,14,1.2,117.833,2945.82,6929.11,159619000
C1,LSD 10,Trial     8,G6,0:00:00-0:30:00,79.8047,0.543037,0,0,0,0,0,0,121.157,3028.92,7587.02,25522700
C1,LSD 10,Trial     8,G12,0:00:00-0:30:00,813.797,0.497419,1,174.48,1,0.04,1,0.04,120.503,3012.57,9462.94,380959000
C1,LSD 10,Trial     8,H6,0:00:00-0:30:00,445.511,0.847818,25,1391.48,26,1.04,0,0,121.354,3033.84,6202.99,77047300
C1,LSD 10,Trial     8,H12,0:00:00-0:30:00,1150.16,0.639647,2,28.52,2,0.12,1,0.08,119.682,2992.06,7699.73,345495000
C1,LSD DMSO,Trial     8,A1,0:00:00-0:30:00,2702.7,1.50608,845,1710.48,1155,57.36,323,18,108.24,2706,6040.29,270569000
C1,LSD DMSO,Trial     8,A7,0:00:00-0:30:00,1736.81,0.966977,357,1685,482,22.56,123,6.68,114.215,2855.37,7272.39,325083000
C1,LSD DMSO,Trial     8,B1,0:00:00-0:30:00,1644.77,1.41756,526,413.92,648,45.12,136,12,110.858,2771.44,6114.66,176194000
C1,LSD DMSO,Trial     8,B7,0:00:00-0:30:00,173.134,0.693424,22,1036.72,24,0.96,0,0,124.099,3102.48,8159.08,44222200
C1,LSD DMSO,Trial     8,C1,0:00:00-0:30:00,925.323,0.661891,7,1309,11,0.52,3,0.12,117.658,2941.44,7736.4,267958000
C1,LSD DMSO,Trial     8,C7,0:00:00-0:30:00,2505.26,1.39299,711,564.56,929,46.36,353,18.16,108.75,2718.74,6189.84,277509000
C1,LSD DMSO,Trial     8,D1,0:00:00-0:30:00,4010.06,2.22979,1646,1278.44,2380,109.68,383,23.92,99.8924,2497.31,4704.67,211169000
C1,LSD DMSO,Trial     8,D7,0:00:00-0:30:00,3634.52,2.02088,1313,1674.24,1711,86.24,578,31.28,103.953,2598.83,5490.74,246084000
C1,LSD DMSO,Trial     8,E1,0:00:00-0:30:00,1457.62,1.01786,342,1665.36,448,20.76,102,5.48,113.401,2835.02,7052.12,250449000
C1,LSD DMSO,Trial     8,E7,0:00:00-0:30:00,1412.7,0.785499,106,550.16,147,6.32,24,1.08,117.636,2940.91,7214.91,322954000
C1,LSD DMSO,Trial     8,F1,0:00:00-0:30:00,2286.65,1.28753,446,1726.56,617,30.84,140,9.84,114.107,2852.67,5747.68,253076000
C1,LSD DMSO,Trial     8,F7,0:00:00-0:30:00,1575.42,0.875973,258,1531.32,339,15.12,68,3.32,116.48,2912,7367.28,330356000
C1,LSD DMSO,Trial     8,G1,0:00:00-0:30:00,2039.56,1.13516,389,1730.64,512,25.16,136,7.8,112.36,2808.99,5990.68,268011000
C1,LSD DMSO,Trial     8,G7,0:00:00-0:30:00,2400.11,1.34397,801,789.6,1004,46.52,223,11.56,109.64,2741.01,6243.34,278029000
C1,LSD DMSO,Trial     8,H1,0:00:00-0:30:00,3074.22,1.89795,1271,1446.24,1665,78.76,389,21.36,101.208,2530.2,5352.58,216057000
C1,LSD DMSO,Trial     8,H7,0:00:00-0:30:00,2679.16,1.48968,1094,705.68,1387,65.92,376,20,106.365,2659.12,6892.27,304438000
C2,DOI 0.1,Trial     8,A2,0:00:00-0:30:00,2973.12,1.68258,1001,1688.44,1310,66.44,411,24.76,106.261,2656.53,6032,265915000
C2,DOI 0.1,Trial     8,A8,0:00:00-0:30:00,1962.56,1.09121,413,1355.2,535,25.56,104,6.48,114.403,2860.07,6661.55,299110000
C2,DOI 0.1,Trial     8,B2,0:00:00-0:30:00,2322.9,1.3434,663,1664.68,893,46.6,252,15.92,112.3,2807.51,6648.7,284923000
C2,DOI 0.1,Trial     8,B8,0:00:00-0:30:00,2606.68,1.44935,776,1720.84,1092,53.16,278,14.8,110.151,2753.78,6083.45,273092000
C2,DOI 0.1,Trial     8,C2,0:00:00-0:30:00,1763.71,0.982546,341,1620.76,478,22.4,87,5.28,115.325,2883.12,7108.93,317663000
C2,DOI 0.1,Trial     8,C8,0:00:00-0:30:00,2615.77,1.4544,715,1726.24,965,49.12,253,15,111.046,2776.15,6127.42,275182000
C2,DOI 0.1,Trial     8,D2,0:00:00-0:30:00,1021.68,1.06701,398,1149,477,620.84,85,4.92,113.043,2826.08,7578.88,178612000
C2,DOI 0.1,Trial     8,D8,0:00:00-0:30:00,2296.24,1.27674,620,1600.08,802,37.28,144,7.8,111.532,2788.31,5881.72,264077000
C2,DOI 0.1,Trial     8,E2,0:00:00-0:30:00,1541.96,0.872366,195,1688.52,250,11.6,37,2.24,117.39,2934.76,7173.01,314135000
C2,DOI 0.1,Trial     8,E8,0:00:00-0:30:00,1911.63,1.06289,479,1742.8,603,27.12,104,5.24,114.61,2865.25,7076.95,316198000
C2,DOI 0.1,Trial     8,F2,0:00:00-0:30:00,1788.6,0.994483,360,1647.72,508,24.32,84,5.96,115.814,2895.35,6648.93,291050000
C2,DOI 0.1,Trial     8,F8,0:00:00-0:30:00,1777.72,0.988433,315,1747.76,395,18.08,75,3.76,115.716,2892.91,6664.26,299105000
C2,DOI 0.1,Trial     8,G2,0:00:00-0:30:00,1861.15,1.03489,403,1716.32,551,26.08,93,5.4,114.848,2871.19,6767.47,302255000
C2,DOI 0.1,Trial     8,G8,0:00:00-0:30:00,1979.72,1.10075,498,401.64,615,29.8,157,8.56,113.7,2842.51,6943.71,311203000
C2,DOI 0.1,Trial     8,H2,0:00:00-0:30:00,2694.8,1.85972,1142,1537.84,1394,192.64,370,24.48,107.205,2680.13,5832.68,207130000
C2,DOI 0.1,Trial     8,H8,0:00:00-0:30:00,928.145,0.650563,167,341.2,214,9.04,24,1.16,118.953,2973.82,9419.05,314370000
C2,DOI 0.3,Trial     8,A3,0:00:00-0:30:00,1653.52,0.927547,270,1741.72,349,18.28,105,6.72,116.184,2904.59,7475.48,331911000
C2,DOI 0.3,Trial     8,A9,0:00:00-0:30:00,2311.92,1.28545,563,1712.96,745,38.44,204,12.32,112.037,2800.92,6450.6,289780000
C2,DOI 0.3,Trial     8,B3,0:00:00-0:30:00,1794.25,0.997762,586,1736.92,734,32.76,120,5.96,113.794,2844.85,7449.58,328840000
C2,DOI 0.3,Trial     8,B9,0:00:00-0:30:00,2247.2,1.25092,630,1505.68,902,44.36,189,12.2,111.212,2780.3,7000.29,313487000
C2,DOI 0.3,Trial     8,C3,0:00:00-0:30:00,1971.27,1.09605,435,1094.48,544,25.64,104,6,114.164,2854.1,6434.33,288798000
C2,DOI 0.3,Trial     8,C9,0:00:00-0:30:00,3122.06,1.73591,1304,1642.08,1635,76.76,332,18.04,105.336,2633.4,5567.58,249712000
C2,DOI 0.3,Trial     8,D3,0:00:00-0:30:00,2325.86,1.29321,700,1113.52,939,41.68,105,5.76,110.558,2763.94,5789.39,259973000
C2,DOI 0.3,Trial     8,D9,0:00:00-0:30:00,1852.82,1.03024,303,1722.88,436,21.56,100,5.64,116.057,2901.42,6799.12,304444000
C2,DOI 0.3,Trial     8,E3,0:00:00-0:30:00,1596.11,0.887459,305,1703.24,399,19.36,114,5.64,115.935,2898.37,7597.4,340044000
C2,DOI 0.3,Trial     8,E9,0:00:00-0:30:00,2244.3,1.24786,549,1713.56,721,36.44,184,9.68,113.135,2828.38,6288.33,282264000
C2,DOI 0.3,Trial     8,F3,0:00:00-0:30:00,1989.24,1.10604,392,1107.68,509,26.64,149,9.52,115.521,2888.04,6685.85,299827000
C2,DOI 0.3,Trial     8,F9,0:00:00-0:30:00,2042.14,1.13561,461,1748.68,630,34.76,218,13.68,114.863,2871.58,8136.88,362287000
C2,DOI 0.3,Trial     8,G3,0:00:00-0:30:00,1630.93,0.906818,318,1765.12,401,17.76,56,2.72,116.399,2909.97,7088.42,315839000
C2,DOI 0.3,Trial     8,G9,0:00:00-0:30:00,1800.76,1.02917,394,1743.68,490,23.44,72,4.92,114.786,2869.64,7048.06,306097000
C2,DOI 0.3,Trial     8,H3,0:00:00-0:30:00,1881.29,1.04607,415,1714.96,586,30.92,166,10.8,114.889,2872.23,7518.7,333815000
C2,DOI 0.3,Trial     8,H9,0:00:00-0:30:00,4348.76,2.41807,1513,1252.56,1979,113.4,765,48.08,100.871,2521.78,5186.68,232980000
C2,DOI 1,Trial     8,A4,0:00:00-0:30:00,1845.46,1.0261,375,1666.08,479,21.48,59,3.72,114.629,2865.74,6734.01,301509000
C2,DOI 1,Trial     8,A10,0:00:00-0:30:00,1970.5,1.0957,342,1493.08,429,21.16,107,6.56,114.724,2868.09,6392.27,286821000
C2,DOI 1,Trial     8,B4,0:00:00-0:30:00,2025.06,1.12596,339,1763.92,446,22.08,115,6.6,115.418,2885.44,6337.65,283901000
C2,DOI 1,Trial     8,B10,0:00:00-0:30:00,3622.03,2.01672,1391,1508.2,1971,96.32,498,27.88,103.459,2586.48,5345.33,239391000
C2,DOI 1,Trial     8,C4,0:00:00-0:30:00,1936.98,1.08006,270,1395.96,351,17.44,87,5.4,117.651,2941.29,6697.53,298388000
C2,DOI 1,Trial     8,C10,0:00:00-0:30:00,2013.16,1.11934,446,1304.56,562,27.08,153,8.8,114.66,2866.5,6726.91,296596000
C2,DOI 1,Trial     8,D4,0:00:00-0:30:00,1995.12,1.10931,557,1600.6,709,32.84,105,6.36,113.389,2834.71,6753.63,303218000
C2,DOI 1,Trial     8,D10,0:00:00-0:30:00,3926.25,2.1845,1427,1534.68,1974,106.6,544,36.32,101.16,2528.99,5067.46,227377000
C2,DOI 1,Trial     8,E4,0:00:00-0:30:00,1474.73,0.820007,375,1284.84,469,20.72,66,3,115.628,2890.7,8118.98,360945000
C2,DOI 1,Trial     8,E10,0:00:00-0:30:00,2318.17,1.28893,644,1109.84,884,43.36,213,12.64,113.14,2828.51,6626.63,296906000
C2,DOI 1,Trial     8,F4,0:00:00-0:30:00,1876.23,1.04321,229,1450.4,282,12.92,39,2.48,117.317,2932.91,6230.07,275082000
C2,DOI 1,Trial     8,F10,0:00:00-0:30:00,2183.08,1.21536,514,1737.92,651,33.48,192,11.04,113.069,2826.73,6370.28,285395000
C2,DOI 1,Trial     8,G4,0:00:00-0:30:00,1708.65,0.950853,185,1684.8,234,13.72,82,6.12,117.479,2936.98,7279.84,325060000
C2,DOI 1,Trial     8,G10,0:00:00-0:30:00,2550.17,1.43526,841,702.72,1060,49.72,209,11.64,111.005,2775.12,5919.01,262260000
C2,DOI 1,Trial     8,H4,0:00:00-0:30:00,1368.72,1.63083,539,1746.84,704,35.52,178,10.4,104.841,2621.03,6082.6,126810000
C2,DOI 1,Trial     8,H10,0:00:00-0:30:00,2059.68,1.14521,366,1611.36,476,24.32,143,8.48,115.604,2890.1,6342.37,284455000
C2,DOI 3,Trial     8,A5,0:00:00-0:30:00,1622.33,0.902034,190,1777.4,258,12.04,33,2.44,117.254,2931.34,6695.75,300324000
C2,DOI 3,Trial     8,A11,0:00:00-0:30:00,2251.87,1.25494,561,1036.48,775,41.6,214,14.36,112.205,2805.12,6632.2,296705000
C2,DOI 3,Trial     8,B5,0:00:00-0:30:00,1452.6,0.835384,116,721.8,161,7.24,20,1.24,118.805,2970.12,6738.49,286750000
C2,DOI 3,Trial     8,B11,0:00:00-0:30:00,2111.43,1.40811,673,1736.4,924,42.84,221,11.76,109.201,2730.03,6187.29,231491000
C2,DOI 3,Trial     8,C5,0:00:00-0:30:00,1924.15,1.06985,452,1708.28,556,25.08,78,4.64,115,2874.99,6382.75,286337000
C2,DOI 3,Trial     8,C11,0:00:00-0:30:00,1390.7,0.787398,96,1788.08,117,5.08,6,0.56,118.221,2955.53,7212.59,314577000
C2,DOI 3,Trial     8,D5,0:00:00-0:30:00,1726.1,0.960009,373,1762.92,486,24.28,117,6.88,115.693,2892.32,7363.8,329883000
C2,DOI 3,Trial     8,D11,0:00:00-0:30:00,1703.61,0.955859,347,1758,415,20.36,107,6.04,116.685,2917.12,6952.39,309249000
C2,DOI 3,Trial     8,E5,0:00:00-0:30:00,1371.1,0.762352,81,1598.76,107,4.76,18,0.88,118.896,2972.41,7582.96,340058000
C2,DOI 3,Trial     8,E11,0:00:00-0:30:00,1856.68,1.03234,318,1768.04,431,21.16,114,6.8,115.711,2892.78,6854.94,307663000
C2,DOI 3,Trial     8,F5,0:00:00-0:30:00,2977.54,1.65573,929,1603.24,1279,68.28,432,24.52,109.436,2735.9,6347.8,284927000
C2,DOI 3,Trial     8,F11,0:00:00-0:30:00,2019.45,1.12284,321,990.96,475,25.76,140,9.24,115.502,2887.54,6847.96,306439000
C2,DOI 3,Trial     8,G5,0:00:00-0:30:00,2912.05,1.8366,1162,1066.28,1460,73.32,410,22.2,103.866,2596.66,5820.67,230330000
C2,DOI 3,Trial     8,G11,0:00:00-0:30:00,1773.47,0.986074,262,1209.8,392,18.04,47,3.36,116.221,2905.53,6842.05,305456000
C2,DOI 3,Trial     8,H5,0:00:00-0:30:00,2086.27,1.23618,622,1545.68,794,40.4,228,13.44,113.367,2834.17,7186.33,301711000
C2,DOI 3,Trial     8,H11,0:00:00-0:30:00,2333.62,1.29752,583,1342.36,768,42.12,250,15.48,111.793,2794.82,6643.15,297427000
C2,DOI 10,Trial     8,A6,0:00:00-0:30:00,2022.92,1.12534,601,1728.92,813,37.4,146,7.72,110.012,2750.3,7011.55,313206000
C2,DOI 10,Trial     8,A12,0:00:00-0:30:00,2230.01,1.25191,700,554.24,919,49.6,225,13.2,110.877,2771.92,7067.57,313383000
C2,DOI 10,Trial     8,B6,0:00:00-0:30:00,1589.35,0.908302,138,1570.6,186,8.16,24,1.36,117.561,2939.02,6724.83,293794000
C2,DOI 10,Trial     8,B12,0:00:00-0:30:00,1424.74,0.797297,207,270.4,273,14.24,64,3.52,117.466,2936.65,7719.75,342919000
C2,DOI 10,Trial     8,C6,0:00:00-0:30:00,1350.36,0.750817,135,1772,152,6.96,36,1.84,118.44,2961.01,7910.01,347004000
C2,DOI 10,Trial     8,C12,0:00:00-0:30:00,1239.95,0.72055,176,1285.24,205,8.92,28,1.32,118.04,2951,7777.22,333892000
C2,DOI 10,Trial     8,D6,0:00:00-0:30:00,1596.33,0.887578,262,1674.88,321,14,30,1.8,116.738,2918.45,7279.32,325495000
C2,DOI 10,Trial     8,D12,0:00:00-0:30:00,1613.2,0.928342,279,994.36,384,16.68,52,2.6,116.535,2913.38,6772.49,293350000
C2,DOI 10,Trial     8,E6,0:00:00-0:30:00,1895.63,1.07613,377,1309.76,492,23.2,100,5.32,115.723,2893.08,6436.6,282992000
C2,DOI 10,Trial     8,E12,0:00:00-0:30:00,1796.52,1.11496,396,658.52,530,26.16,123,7.24,113.79,2844.75,6574.81,264537000
C2,DOI 10,Trial     8,F6,0:00:00-0:30:00,1468.24,0.81636,286,896.76,332,15.12,43,2.4,115.641,2891.03,7403.19,328813000
C2,DOI 10,Trial     8,F12,0:00:00-0:30:00,1307.82,0.75525,57,1274.2,64,2.72,4,0.24,118.736,2968.4,7111.13,306298000
C2,DOI 10,Trial     8,G6,0:00:00-0:30:00,1813.82,1.02065,306,1658.92,436,20.72,77,4.84,116.031,2900.77,6651.48,294760000
C2,DOI 10,Trial     8,G12,0:00:00-0:30:00,1250.75,0.768179,137,1590.24,174,9.44,65,4.2,116.999,2924.97,8504.72,344007000
C2,DOI 10,Trial     8,H6,0:00:00-0:30:00,1798.61,1.00016,385,1129.68,497,23.2,126,6.56,114.83,2870.76,7065.19,316202000
C2,DOI 10,Trial     8,H12,0:00:00-0:30:00,1569.81,0.872837,301,1719.04,463,20.28,48,2.88,114.689,2867.24,7424.96,330730000
C2,DOI DMSO,Trial     8,A1,0:00:00-0:30:00,2216.33,1.39666,688,1612.48,913,116.48,253,74.44,109.822,2745.55,6635.2,260923000
C2,DOI DMSO,Trial     8,A7,0:00:00-0:30:00,3374.48,1.94584,1413,1648.48,1910,106.8,392,22.76,102.293,2557.33,5602.61,241652000
C2,DOI DMSO,Trial     8,B1,0:00:00-0:30:00,3484.75,1.96714,1365,1354.4,1770,90.28,588,32.96,103.014,2575.34,5966.94,263130000
C2,DOI DMSO,Trial     8,B7,0:00:00-0:30:00,2176.5,1.22825,467,1735.32,631,33,182,11.12,114.039,2850.97,6718.65,296508000
C2,DOI DMSO,Trial     8,C1,0:00:00-0:30:00,2903.63,1.73322,846,856.56,1157,60.92,438,25.84,108.317,2707.94,6114.38,255122000
C2,DOI DMSO,Trial     8,C7,0:00:00-0:30:00,2387.96,1.32774,749,1731.68,1039,45.44,102,5.96,111.127,2778.17,6023.79,269360000
C2,DOI DMSO,Trial     8,D1,0:00:00-0:30:00,1449.02,1.01188,313,1659.16,416,19.96,126,6.8,115.107,2877.67,6927.01,246117000
C2,DOI DMSO,Trial     8,D7,0:00:00-0:30:00,2766.33,1.53812,1435,1458.8,1729,78.72,251,13.92,110.05,2751.25,5965.71,264173000
C2,DOI DMSO,Trial     8,E7,0:00:00-0:30:00,2993.85,1.66577,1030,1681,1384,72.16,412,21.72,107.225,2680.64,6049.71,270622000
C2,DOI DMSO,Trial     8,F1,0:00:00-0:30:00,3123.75,1.73692,1339,1505.52,1789,84.64,341,18.72,104.855,2621.38,5652.15,251606000
C2,DOI DMSO,Trial     8,F7,0:00:00-0:30:00,2596.94,1.44403,808,1725.92,1037,49.84,194,10.8,110.857,2771.43,6033.45,270649000
C2,DOI DMSO,Trial     8,G1,0:00:00-0:30:00,2103.08,1.19782,496,1732.12,660,36.4,193,14.56,113.888,2847.2,7407.84,316233000
C2,DOI DMSO,Trial     8,G7,0:00:00-0:30:00,1681.55,0.935065,247,1769.28,359,16.92,68,3.68,116.88,2921.99,7117.18,317896000
C2,DOI DMSO,Trial     8,H1,0:00:00-0:30:00,1259.86,0.76104,172,883.48,242,11.52,37,2.76,116.69,2917.26,7882.18,324628000
C2,DOI DMSO,Trial     8,H7,0:00:00-0:30:00,2983.31,1.7021,1241,1358.92,1586,70.24,184,10.32,105.392,2634.79,4987.06,218294000
C2,MDA 0.1,Trial     4,A2,0:00:00-0:30:00,3008.61,1.73084,892,1661.36,1216,88.44,382,41.8,109.12,2727.99,6328.61,273959000
C2,MDA 0.1,Trial     4,A8,0:00:00-0:30:00,1978.1,1.09985,438,1753.96,582,29.4,148,9.24,113.868,2846.7,6908,309955000
C2,MDA 0.1,Trial     4,B2,0:00:00-0:30:00,1962,1.09697,539,1752.32,645,30.2,148,7.84,113.78,2844.49,6942.5,309941000
C2,MDA 0.1,Trial     4,B8,0:00:00-0:30:00,2351.96,1.30772,584,1694.92,787,38.64,200,11.52,113.134,2828.35,6253.32,279455000
C2,MDA 0.1,Trial     4,C2,0:00:00-0:30:00,1736.25,1.00762,316,435.08,396,20,124,7.24,115.939,2898.47,7437.46,319818000
C2,MDA 0.1,Trial     4,C8,0:00:00-0:30:00,1708.91,0.950176,296,1658.16,355,16.2,53,2.96,116.387,2909.66,6887.19,308312000
C2,MDA 0.1,Trial     4,D2,0:00:00-0:30:00,2115.85,1.42612,777,1021.36,962,46.4,262,14.44,109.137,2728.42,6669.86,246905000
C2,MDA 0.1,Trial     4,D8,0:00:00-0:30:00,2224.41,1.2368,588,1742.2,832,37.36,112,6.56,111.982,2799.56,6251.65,279693000
C2,MDA 0.1,Trial     4,E2,0:00:00-0:30:00,1754.75,0.984643,334,1752,450,19.24,35,1.92,115.125,2878.12,6633.8,294932000
C2,MDA 0.1,Trial     4,E8,0:00:00-0:30:00,4064.03,2.25981,1929,1628.36,2411,114.8,608,31,97.5796,2439.49,4771.35,213752000
C2,MDA 0.1,Trial     4,F2,0:00:00-0:30:00,1765.91,0.981867,430,1744.2,579,28.76,154,8.68,113.868,2846.7,7587.52,338874000
C2,MDA 0.1,Trial     4,F8,0:00:00-0:30:00,4612.61,2.56467,1651,1630.44,2198,115,815,46.64,98.834,2470.85,4751.14,213398000
C2,MDA 0.1,Trial     4,G2,0:00:00-0:30:00,2104.22,1.17003,622,1739.92,826,39.88,181,10.2,111.347,2783.68,6831.29,306226000
C2,MDA 0.1,Trial     4,G8,0:00:00-0:30:00,3189.96,1.77366,1354,1265.08,1749,84.64,441,22.24,104.009,2600.22,5898.36,264341000
C2,MDA 0.1,Trial     4,H2,0:00:00-0:30:00,2816.55,1.61448,908,1513.48,1234,63.68,310,20.16,108.387,2709.67,5840.72,252056000
C2,MDA 0.1,Trial     4,H8,0:00:00-0:30:00,3052.76,1.69737,1054,1613.36,1400,70.24,456,25,105.495,2637.39,6198.62,277804000
C2,MDA 0.3,Trial     4,A3,0:00:00-0:30:00,1846.25,1.02654,359,1715.88,495,24.16,96,5.64,114.797,2869.94,6967.79,312296000
C2,MDA 0.3,Trial     4,A9,0:00:00-0:30:00,1320.78,1.71646,518,1458.84,605,28.92,151,8.48,105.715,2642.87,5801.28,110857000
C2,MDA 0.3,Trial     4,B3,0:00:00-0:30:00,1742.05,1.02476,370,1706.84,490,40.76,126,24.52,114.931,2873.28,7225.91,304558000
C2,MDA 0.3,Trial     4,B9,0:00:00-0:30:00,2300.34,1.4968,799,1454.96,1051,49.4,222,12.04,108.97,2724.24,6008.18,230011000
C2,MDA 0.3,Trial     4,C3,0:00:00-0:30:00,2551,1.41839,650,1738.32,761,41.48,344,18.8,112.044,2801.1,6163.96,276398000
C2,MDA 0.3,Trial     4,C9,0:00:00-0:30:00,2489.21,1.41134,843,1709.84,1085,58.16,213,12.68,111.015,2775.37,6101.07,267221000
C2,MDA 0.3,Trial     4,D3,0:00:00-0:30:00,1658.52,0.92216,161,1678.08,214,10.04,41,2.4,117.925,2948.13,6715.11,300642000
C2,MDA 0.3,Trial     4,D9,0:00:00-0:30:00,2197.14,1.22324,439,1750.84,561,28.92,180,10.68,113.846,2846.15,6143.46,275374000
C2,MDA 0.3,Trial     4,E3,0:00:00-0:30:00,1204.61,0.805416,132,1346.92,169,8.4,29,2.2,117.279,2931.98,7657.92,285028000
C2,MDA 0.3,Trial     4,E9,0:00:00-0:30:00,1929.24,1.07268,294,1549.88,356,16.92,99,4.84,116.549,2913.72,6291.55,281937000
C2,MDA 0.3,Trial     4,F3,0:00:00-0:30:00,3543.45,2.07273,1415,1585.64,1686,83.8,594,30.96,100.869,2521.72,5036.4,214616000
